GRADE_NAME,SS-PREV,SS,NP-PREV,NP,IS-ELA,FRL,Asian,Black,Multi,White,Disabled,Gender,Gifted,YEARS_TEACHING,Months-Until-Renewal,Annual Salary,SumOfCertificates,YEARS_TEACHING * IS-ELA,YEARS_TEACHING * FREE-LUNCH,YEARS_TEACHING * REDUCED-LUNCH,YEARS_TEACHING * Asian,YEARS_TEACHING * Black,YEARS_TEACHING * Native,YEARS_TEACHING * Multi,YEARS_TEACHING * White,YEARS_TEACHING * Disabled,YEARS_TEACHING * Gender,YEARS_TEACHING * Gifted,BUSINESS,English,ENGLISH LANGUAGE ARTS,Foreign Languages Spanish,General Elementary Educ,INDUSTRIAL ARTS/TECHNOLOGY ED,Instructional Technology Tchr,MATHEMATICS,Mathematics Middle School,Physical Curr Physical Ed,Science General,SCIENCE NATURAL,Soc Sciences History,Soc Sciences Social Studies,SOCIAL SCIENCES,TECHNICAL ED/COMPUTER TECH
9,569,550,87,38,0,2,0,1,0,0,0,0,0,0,24.92,35674,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9,569,550,87,38,0,2,0,1,0,0,0,0,0,0,24.92,35674,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9,569,550,87,38,0,2,0,1,0,0,0,0,0,9,53.04,57227,5,0,9,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,569,550,87,38,0,2,0,1,0,0,0,0,0,0,20.07,35674,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9,569,550,87,38,0,2,0,1,0,0,0,0,0,0,24.92,35674,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9,629,638,23,44,0,0,0,0,0,1,0,0,1,20,45.28,69322,3,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9,629,638,23,44,0,0,0,0,0,1,0,0,1,20,49.9,69322,3,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9,670,669,72,47,0,2,0,0,0,0,0,0,1,9,42.44,34113,2,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,670,669,72,47,0,2,0,0,0,0,0,0,1,9,47.06,34113,2,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,581,621,37,84,0,0,0,0,1,0,0,1,0,0,33.99,41207,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,581,621,37,84,0,0,0,0,1,0,0,1,0,0,29.37,41207,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,731,695,95,10,0,0,0,0,0,1,0,0,1,0,34.59,37827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,731,695,95,10,0,0,0,0,0,1,0,0,1,0,29.97,37827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,588,587,96,54,0,2,0,0,0,0,0,0,0,20,44.29,65349,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10,588,587,96,54,0,2,0,0,0,0,0,0,0,20,48.91,65349,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10,544,603,45,97,0,1,0,0,0,0,0,1,0,2,17.49,38680,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,544,603,45,97,0,1,0,0,0,0,0,1,0,3,37.23,40933,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,453,501,50,82,0,2,0,1,0,0,0,1,0,14,57.76,74277,4,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10,453,501,50,82,0,2,0,1,0,0,0,1,0,14,62.38,74277,4,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10,453,501,50,82,0,2,0,1,0,0,0,1,0,5,6.27,41307,2,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,453,501,50,82,0,2,0,1,0,0,0,1,0,5,10.89,41307,2,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,553,592,45,82,0,2,0,0,0,1,0,0,0,20,57.69,76083,4,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,553,592,45,82,0,2,0,0,0,1,0,0,0,20,53.07,76083,4,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,548,518,97,21,1,2,0,0,0,0,0,0,0,11,40.33,47934,3,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,548,518,97,21,1,2,0,0,0,0,0,0,0,1,35.12,37928,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,548,518,97,21,1,2,0,0,0,0,0,0,0,11,35.71,47934,3,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,548,518,97,21,1,2,0,0,0,0,0,0,0,1,30.5,37928,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,605,635,28,72,0,0,1,0,0,0,0,0,1,20,57.69,76083,4,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,605,635,28,72,0,0,1,0,0,0,0,0,1,20,53.07,76083,4,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,613,612,38,17,0,1,0,0,0,0,0,0,0,3,39.54,42336,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,613,612,38,17,0,1,0,0,0,0,0,0,0,3,44.16,42336,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,467,505,5,35,1,1,0,0,0,0,1,1,0,20,57.69,76083,4,20,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,467,505,5,35,1,1,0,0,0,0,1,1,0,5,52.44,63236,4,5,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10,467,505,5,35,1,1,0,0,0,0,1,1,0,20,53.07,76083,4,20,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,467,505,5,35,1,1,0,0,0,0,1,1,0,6,33.33,42061,5,6,0,6,0,0,0,0,0,6,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10,641,641,77,36,0,0,0,0,1,0,0,0,0,19,54.06,64792,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
