ID,NumberPhenotypes
7,'0100010110110000101011011110010100111010000011010011001001010',5
7,'1111001111111101011010100010110100010101101100100111011001110',1
7,'1111001111110111011010100010110101010101111100100111011001110',1
7,'0100010110110000101011011100010100111010001011010011001101010',1

8,'0000010110101000101011111100001010111110010001011111110001100',2
8,'1100001111110000011000000010001100010000011000011100010001001',4
8,'0100011100010101000000111111110000011110011001110111100010010',1
8,'0100110110110010101011011110010100011010000011010011001001010',6
8,'0111000111000100010001101111001110010110110101000011010011001',4
8,'0100011100010111000000111111110000011110011001110111100010010',2
8,'1000010110101000101011111100001010111110010001011111110001100',5
8,'1010010110110010111101111110000111001111101111011011000101011',15
8,'0100010110110000101011010110010100111010000011011011001001010',1
8,'1110100111010100011101100100111111011111011110000011011100100',15
8,'0101000111100000010000101111000110110110110101010011010011001',2
8,'1010010110110010111101111100000111001111101111011011000101011',2
8,'0100011100010111000000111111110000011110011001110111100010011',2
8,'0111100111000100010001100111000110010110110101010011010111001',2
8,'0100010110110000101011010110010100110010000011010011001001010',2
8,'1011010110110010111001111110101111001111100111011011001101011',4
8,'0111000111000100010001101111000110110110110101010011010011001',9
8,'1111100111010100001101110100111111011011011110000011011100000',1
8,'0100010110110000101011011110010100111010000011010011001001010',5
8,'0010011110101101000110001010101101111111110000010111001011011',1
8,'1110100111110100111101100100111111011111011100000011011100100',1
8,'0111101110010001010101010101110011011010000100000011110001110',3
8,'1111001111111101011010100010110100010101101100100111011001110',2
8,'0100010110110000101011011111010100111010000011000011001001010',2
8,'0111101110010001010101011101110011001010001100001111110011110',1
8,'1010010110110011111111111110000111001111101111011011000101011',1
8,'1000110110100000111011111100001011111110010011011111111001100',1
8,'0100011110010111000000111111110000011110011001110111100010100',1
8,'0111000111000100010001101111000111110110110101010011010011000',1
8,'1100100111110101010101100000111111010111011100000011011100100',1
8,'0010011110111001000100001011001101111111110000010111101011011',1

9,'0101011010010111010000111111110000011100011001010111101010100',1
9,'0110100011010000010101100100111111011111011010000011011100000',1
9,'0100110110110010101011011110010100011010000011010011001001010',6
9,'0111000111000100010001101111001110010110110101000011010011001',6
9,'1110100111010100011101100100111111011111011110000011011100100',16
9,'1000010110101000101011111100001010111110010001011111110001100',6
9,'0101000111100000010000101111000110110110110101010011010011001',4
9,'0111000111000100010001101111000110110110110101010011010011001',8
9,'1010010110110010111101111110000111001111101111011011000101011',17
9,'1010010110110010111101111100000111001111101111011011000101011',4
9,'0100011100010111000000111111110000011110011001110111100010011',2
9,'0111101110010001010101010101110011011010000100000011110001110',2
9,'1111100111010100001101110100111111011011011110000011011100000',2
9,'1011010110110010111001111110101111001111100111011011001101011',3
9,'0100010110110000101011011110010100111010000001010011001001010',1
9,'0100010110110000101011011110010100111010000011010011001001010',5
9,'0010011110101101000110001010101101111111110000010111001011011',1
9,'0000111110101101000110001010101110111111110000010111001011011',1
9,'1010010110110010111101111010000111001111101111011011000101011',1
9,'0111010111000100010001001111000110110110110001010011010001001',1
9,'1111100111010000011101100100101111011111011110000001001100100',1
9,'1100100111010100011101100100111111011111001110000011011100100',1
9,'1111001111111101011010100010110100010101101100100111011001110',1
9,'1100001111110000011000000010001100010000011000011100010001001',1
